link,courseid,coursename,Coursetitle,lessonID,lessonname,Corresponding folder name,Corresponding file name in the folder
https://www.michaelmanagement.com/files/training/PS101/ps101_08/imsmanifest.xml,61,PS101,SAP Project System - Project Builder,ps101_08,Project Reports,PS101-html5.zip,
https://www.michaelmanagement.com/files/training/MM101/mm101_05/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_05,Assign Source of Supply,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_06/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_06,Create Purchase Order w/ Reference,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_10/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_10,Enter Physical Inventory Count,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CO101/co101_05/imsmanifest.xml,204,CO101,SAP Cost Center Accounting,co101_05,Cost center budgets,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/BC101/bc101_09/imsmanifest.xml,218,BC101,Basic SAP System Administration,bc101_09,SCCL - Client copy,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/BI101/bi101_04/imsmanifest.xml,220,BI101,SAP BI BEx Analyzer,bi101_04,Setting Query Variables and Filters,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CON101/con101_01/imsmanifest.xml,221,CON101,Introduction to SAP Configuration,con101_01,Configuration / Implementation Guide overview,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CON101/con101_06/imsmanifest.xml,221,CON101,Introduction to SAP Configuration,con101_06,Project Analysis,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/PM102/pm102_04/imsmanifest.xml,237,PM102,Intermediate SAP Plant Maintenance,pm102_04,Create Warranty,PM102_HTML5.zip,
https://www.michaelmanagement.com/files/training/SAP115/sap115_03/imsmanifest.xml,239,SAP115,Intermediate SAP Reporting Skills,sap115_03,Downloading SAP Reports,SAP115_HTML5.zip,
https://www.michaelmanagement.com/files/training/SAP110/sap110_02/imsmanifest.xml,240,SAP110,Basic SAP Reporting Skills,sap110_02,Advanced & Dynamic selections,SAP110_HTML5.zip,
https://www.michaelmanagement.com/files/training/HR100/hr100_01/imsmanifest.xml,242,HR100,SAP Human Resources Overview,hr100_01,Personnel Management Overview,HR100_HTML5.zip,
https://www.michaelmanagement.com/files/training/HR100/hr100_03/imsmanifest.xml,242,HR100,SAP Human Resources Overview,hr100_03,Recruitment,HR100_HTML5.zip,
https://www.michaelmanagement.com/files/training/HR100/hr100_05/imsmanifest.xml,242,HR100,SAP Human Resources Overview,hr100_05,Additional HR-PA Components,HR100_HTML5.zip,
https://www.michaelmanagement.com/files/training/FIAA105/fiaa105_06/imsmanifest.xml,255,FIAA105,SAP Assets under Construction,fiaa105_06,Settlement,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM110/mm110_08/imsmanifest.xml,284,MM110,SAP Material Master Data,mm110_08,Vendor list display,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM110/mm110_10/imsmanifest.xml,284,MM110,SAP Material Master Data,mm110_10,Info record list display,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM110/mm110_12/imsmanifest.xml,284,MM110,SAP Material Master Data,mm110_12,Source list display,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM111/mm111_01/imsmanifest.xml,286,MM111,Intermediate SAP Material Master Data,mm111_01,Price condition record,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM111/mm111_04/imsmanifest.xml,286,MM111,Intermediate SAP Material Master Data,mm111_04,Create/change batch,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM111/mm111_05/imsmanifest.xml,286,MM111,Intermediate SAP Material Master Data,mm111_05,Storage location,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM111/mm111_06/imsmanifest.xml,286,MM111,Intermediate SAP Material Master Data,mm111_06,Delivery address,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM111/mm111_09/imsmanifest.xml,286,MM111,Intermediate SAP Material Master Data,mm111_09,Change material type,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM111/mm111_10/imsmanifest.xml,286,MM111,Intermediate SAP Material Master Data,mm111_10,Vendor mass maintenance,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM111/mm111_11/imsmanifest.xml,286,MM111,Intermediate SAP Material Master Data,mm111_11,Vendor account group change,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/WS101/ws101_04/imsmanifest.xml,288,WS101,Winshuttle - Transaction,ws101_04,Validating data,WS101_HTML5.zip,
https://www.michaelmanagement.com/files/training/WS101/ws101_05/imsmanifest.xml,288,WS101,Winshuttle - Transaction,ws101_05,Running a script,WS101_HTML5.zip,
https://www.michaelmanagement.com/files/training/WS101/ws101_06/imsmanifest.xml,288,WS101,Winshuttle - Transaction,ws101_06,Advanced run options,WS101_HTML5.zip,
https://www.michaelmanagement.com/files/training/SAP102/sap102_01/imsmanifest.xml,289,SAP102,Intermediate SAP Skills,sap102_01,Common icons in SAP transactions,SAP102_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP102/sap102_11/imsmanifest.xml,289,SAP102,Intermediate SAP Skills,sap102_11,System status,SAP102_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/HR401/hr401_13/imsmanifest.xml,298,HR401,SAP Employee Self-Service,hr401_13,Maintain Addresses and Emergency Contact,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HR401/hr401_12/imsmanifest.xml,298,HR401,SAP Employee Self-Service,hr401_12,Maintain Bank Information,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HR401/hr401_02/imsmanifest.xml,298,HR401,SAP Employee Self-Service,hr401_02,Record and Release Working Time,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HR401/hr401_03/imsmanifest.xml,298,HR401,SAP Employee Self-Service,hr401_03,Request a Leave,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HR401/hr401_04/imsmanifest.xml,298,HR401,SAP Employee Self-Service,hr401_04,Review Time Statement,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM120/mm120_01/imsmanifest.xml,301,MM120,SAP Quotations,mm120_01,Individual/Collective Release of Purchase Requisition,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM120/mm120_03/imsmanifest.xml,301,MM120,SAP Quotations,mm120_03,Request for Quotation,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CONSD103/consd103_03/imsmanifest.xml,316,CONSD103,SAP SD Pricing Configuration,consd103_03,Define Condition Types,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/BC102/bc102_05/imsmanifest.xml,352,BC102,Intermediate SAP System Administration,bc102_05,Configuration of RFC Connections,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CO201/co201_01/imsmanifest.xml,362,CO201,SAP Product Costing - Planning,co201_01,Create Selection List for Costing Run,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CONMM104/conmm104_07/imsmanifest.xml,373,CONMM104,SAP MM Inventory Management Configuration,conmm104_07,Automatic Movements,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/WS110/ws110_02/imsmanifest.xml,376,WS110,Winshuttle - Journal Entry,ws110_02,Customizing Default Templates,WS110_HTML5.zip,
https://www.michaelmanagement.com/files/training/WS110/ws110_04/imsmanifest.xml,376,WS110,Winshuttle - Journal Entry,ws110_04,Using a Customized Template,WS110_HTML5.zip,
https://www.michaelmanagement.com/files/training/CONMM105/conmm105_04/imsmanifest.xml,378,CONMM105,SAP MM Consumption-Based Planning Configuration,conmm105_04,Master Data,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CO202/co202_04/imsmanifest.xml,379,CO202,SAP Product Costing - Cost Object Controlling,co202_04,Overhead,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CO202/co202_06/imsmanifest.xml,379,CO202,SAP Product Costing - Cost Object Controlling,co202_06,Variance,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CO202/co202_08/imsmanifest.xml,379,CO202,SAP Product Costing - Cost Object Controlling,co202_08,Settlement,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL301/figl301_02/imsmanifest.xml,380,FIGL301,SAP Financial Period End Closing,figl301_02,Execute Recurring Entries,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL301/figl301_04/imsmanifest.xml,380,FIGL301,SAP Financial Period End Closing,figl301_04,Enter Accrual / Deferral Document,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CONFI111/confi111_03/imsmanifest.xml,392,CONFI111,SAP Bank Accounting Configuration II,confi111_03,Electronic Bank Statement - Define Posting Rules,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CONFI111/confi111_04/imsmanifest.xml,392,CONFI111,SAP Bank Accounting Configuration II,confi111_04,Electronic Bank Statement - Transaction Types,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CS101/cs101_08/imsmanifest.xml,394,CS101,SAP Customer Service,cs101_08,Maintain Customer Service Request Notification,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/BC110/bc110_04/imsmanifest.xml,395,BC110,SAP Query Reporting,bc110_04,Modifying SAP QuickViewer Reports,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CONMM106/conmm106_12/imsmanifest.xml,396,CONMM106,SAP MM Invoice Verification Configuration,conmm106_12,Number Assignments for Clearing Account Maintenance,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FSCM110/fscm110_07/imsmanifest.xml,397,FSCM110,SAP Collections Management,fscm110_07,Mass Update of Collection Specialist Assignment,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HANA102/hana102_07/imsmanifest.xml,401,HANA102,SAP HANA - Modeling and Administration,hana102_07,Using Currency Conversion,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HANA102/hana102_09/imsmanifest.xml,401,HANA102,SAP HANA - Modeling and Administration,hana102_09,Security  - Analytic Privilege,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
